	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Apr 30 19:42:08 2025

	Auto Mode
	Excel chart generation enabled
	OPS Mode. Output is in operations per second.
	Command line used: iozone -a -R -O
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
"16384"   340365  237535  224470  92856  80077  24951  22299  3760  2691  3430  416  267  122 
"32768"   0  0  0  0  68660  35432  11004  6854  3240  1410  717  271  119 
"65536"   0  0  0  0  83469  49121  25442  9777  6321  2507  1050  432  211 
"131072"   0  0  0  0  99863  51576  25269  12493  6483  2983  1212  467  229 
"262144"   0  0  0  0  107627  56794  29179  14000  6938  3325  1177  501  221 
"524288"   0  0  0  0  117458  60117  30832  16679  7304  3595  1357  486  236 

"Stride read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   409685  420451  65585  38514  20379 
"128"   88138  78051  86079  43039  32792  15152 
"256"   124286  127971  110959  70079  41241  14931  6670 
"512"   181081  163301  127971  117568  45726  23405  8193  4589 
"1024"   228952  104575  73973  45717  34260  23666  11208  8266  2325 
"2048"   394482  98419  68778  57397  33472  24583  13268  4367  2131  986 
"4096"   294079  164636  135457  67694  33313  28192  12280  5228  5848  2066  927 
"8192"   411576  267302  216856  78382  95311  38458  9272  6831  6908  3062  1273  480 
"16384"   422184  354577  237595  105002  106980  39145  24825  6011  9411  4880  1500  572  126 
"32768"   0  0  0  0  98256  50572  23447  13405  4051  5988  2152  645  321 
"65536"   0  0  0  0  92938  52006  27877  14195  6503  3773  1539  663  337 
"131072"   0  0  0  0  105675  53917  26424  14102  6954  3543  1634  726  204 
"262144"   0  0  0  0  104205  57320  29924  14492  6564  3655  1753  769  325 
"524288"   0  0  0  0  104601  59739  30280  15924  7951  3972  1884  788  360 

"Fwrite report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   313877  258497  21055  15744  10623 
"128"   85554  66391  35741  23503  11055  7196 
"256"   106997  121705  66921  30648  16260  4976  3449 
"512"   167939  130068  87965  38177  16596  9025  3539  1620 
"1024"   180800  66561  39970  33232  14844  9852  4901  2721  1173 
"2048"   340880  74483  43730  32921  17408  9060  6028  2142  970  604 
"4096"   251479  160802  108057  57630  16120  13841  4465  2343  2783  661  513 
"8192"   435842  258782  159004  60835  45521  20486  5367  1993  2456  1333  511  282 
"16384"   429037  302198  150190  62122  59699  23490  11173  3847  3440  1759  807  294  77 
"32768"   0  0  0  0  51733  26890  11899  6131  3051  1326  688  397  142 
"65536"   0  0  0  0  53195  27979  13412  6658  3504  1439  723  368  199 
"131072"   0  0  0  0  58938  30279  14105  7405  3669  1594  719  359  186 
"262144"   0  0  0  0  63491  31780  16061  8094  3876  1704  710  350  167 
"524288"   0  0  0  0  67310  35496  16656  8502  4205  1751  764  356  180 

"Re-Fwrite report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   257313  177719  37718  23249  8927 
"128"   75284  62965  47879  24111  18525  5498 
"256"   96531  99067  52111  31248  18440  12339  3920 
"512"   128782  119156  59817  36122  12364  10206  5494  2158 
"1024"   176666  78286  55601  31678  12598  6622  4854  5276  1114 
"2048"   423833  83469  42131  27383  13652  9286  6950  2690  1406  537 
"4096"   300120  85790  97225  72561  26766  13785  4108  2323  1264  1246  243 
"8192"   399145  292995  55574  91617  36582  10032  11084  4896  2516  1311  702  138 
"16384"   363342  256670  119627  82462  57297  26413  4469  5090  2743  1755  798  561  186 
"32768"   0  0  0  0  59485  17040  4460  2128  1167  532  290  242  102 
"65536"   0  0  0  0  25252  13174  14347  3215  1666  1220  377  205  113 
"131072"   0  0  0  0  39329  17121  11913  4945  2407  1087  500  257  137 
"262144"   0  0  0  0  45448  31307  15262  5936  2916  1339  622  300  148 
"524288"   0  0  0  0  65830  31748  14791  8778  3623  1589  697  332  172 

"Fread report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   589679  248909  80348  38514  18909 
"128"   144195  108099  98745  48237  27431  17490 
"256"   299323  223768  81660  53362  36647  19982  10985 
"512"   265015  188798  139113  77689  38844  17552  7220  4080 
"1024"   544547  129559  86934  56924  38090  19845  6125  6265  2203 
